ID    RISK     STATUS   CVSS-VECTOR  CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------   -----------  ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
6312  Unknown  Waiting               -1         3             []     []                                  [CWE_16]                   [MSTG_6_2]                    []                               [MASVS_4_4]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.563489 +0000 UTC  89
6313  Unknown  Waiting               -1         3             []     []                                  [CWE_922]                  [MSTG_2_1]                    []                               [MASVS_1_1]            [M6_2024 M9_2024]  []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:26.664618 +0000 UTC  90
6314  Unknown  Waiting               -1         3             []     []                                  [CWE_200]                  [MSTG_2_9]                    []                               [MASVS_6_3]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.723865 +0000 UTC  92
6315  Unknown  Waiting               -1         3             []     []                                  [CWE_89]                   [MSTG_6_2]                    []                               [MASVS_4_4]            [M4_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.759772 +0000 UTC  93
6316  Unknown  Waiting               -1         3             []     []                                  [CWE_942]                  [MSTG_6_6]                    []                               [MASVS_6_2]            [M4_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.802116 +0000 UTC  94
6317  Unknown  Waiting               -1         3             []     []                                  [CWE_502]                  [MSTG_6_8]                    []                               [MASVS_4_4]            [M4_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.890503 +0000 UTC  95
6318  Unknown  Waiting               -1         3             []     []                                  [CWE_16]                   [MSTG_2_8]                    []                               [MASVS_1_2]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.942172 +0000 UTC  96
6319  Unknown  Waiting               -1         3             []     []                                  [CWE_477]                  [MSTG_7_5]                    []                               [MASVS_4_3]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:26.992897 +0000 UTC  98
6320  Unknown  Waiting               -1         3             []     []                                  [CWE_613]                  [MSTG_4_2]                    [API2_2023]                      []                     [M3_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.053653 +0000 UTC  99
6321  Unknown  Waiting               -1         3             []     [ASVS_3_4_1 ASVS_3_4_2 ASVS_3_4_3]  [CWE_1004 CWE_614]         []                            [API8_2023]                      []                     [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.095432 +0000 UTC  101
6322  Unknown  Waiting               -1         3             []     [ASVS_13_1_3 ASVS_13_1_2]           [CWE_202 CWE_200]          []                            []                               []                     [M6_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.17425 +0000 UTC   102
6323  Unknown  Waiting               -1         3             []     [ASVS_13_1_3]                       [CWE_209]                  []                            [API8_2023]                      []                     [M6_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.227358 +0000 UTC  103
6324  Unknown  Waiting               -1         3             []     []                                  [CWE_693]                  [MSTG_8_9]                    []                               [MASVS_7_3]            [M7_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.291638 +0000 UTC  104
6325  Unknown  Waiting               -1         3             []     [ASVS_14_5_1]                       [CWE_16]                   []                            [API8_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.376945 +0000 UTC  105
6326  Unknown  Waiting               -1         3             []     [ASVS_14_5_2 ASVS_14_5_4]           [CWE_20]                   []                            []                               []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.442936 +0000 UTC  106
6327  Unknown  Waiting               -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_326]                  []                            []                               []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.519398 +0000 UTC  107
6328  Unknown  Waiting               -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_757]                  []                            [API8_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.632121 +0000 UTC  108
6329  Unknown  Waiting               -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_126]                  []                            [API3_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.729174 +0000 UTC  109
6330  Unknown  Waiting               -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_310]                  []                            [API8_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.804628 +0000 UTC  110
6331  Unknown  Waiting               -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_310]                  []                            [API8_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.851029 +0000 UTC  111
6332  Unknown  Waiting               -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_757]                  []                            [API9_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.892307 +0000 UTC  112
6333  Unknown  Waiting               -1         3             []     []                                  [CWE_16]                   [MSTG_5_1]                    []                               [MASVS_5_1]            [M5_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.93208 +0000 UTC   113
6334  Unknown  Waiting               -1         3             []     []                                  [CWE_1299]                 [MSTG_4_8]                    []                               [MASVS_3_2]            [M3_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:27.996241 +0000 UTC  114
6335  Unknown  Waiting               -1         3             []     []                                  [CWE_693]                  [MSTG_8_1]                    []                               [MASVS_7_1]            [M7_2024]          []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-17 08:46:28.117689 +0000 UTC  116
6336  Unknown  Waiting               -1         3             []     []                                  [CWE_345]                  [MSTG_8_3]                    []                               [MASVS_4_3]            [M7_2024]          []       [164_312_c_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:28.222661 +0000 UTC  117
6337  Unknown  Waiting               -1         3             []     []                                  [CWE_200]                  [MSTG_6_9]                    []                               [MASVS_6_3]            []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:28.295202 +0000 UTC  118
6338  Unknown  Waiting               -1         3             []     []                                  [CWE_259 CWE_321 CWE_798]  [MSTG_1_4]                    []                               [MASVS_1_2]            [M1_2024 M6_2024]  []       [164_312_c_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:28.379717 +0000 UTC  120
6339  Unknown  Waiting               -1         3             []     []                                  [CWE_1021]                 [MSTG_6_9]                    []                               [MASVS_6_3]            [M4_2024 M8_2024]  []       [164_310_c]                [gdpr_32 gdpr_25]  2025-11-17 08:46:28.449472 +0000 UTC  121
6340  Unknown  Waiting               -1         3             []     []                                  [CWE_524]                  [MSTG_2_5]                    []                               [MASVS_1_2]            [M6_2024 M9_2024]  []       [164_312_c_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:28.516231 +0000 UTC  122
6341  Unknown  Waiting               -1         3             []     []                                  [CWE_338]                  [MSTG_3_6]                    []                               [MASVS_2_1]            [M10_2024]         []       [164_312_c_1]              [gdpr_32 gdpr_25]  2025-11-17 08:46:28.558516 +0000 UTC  127
6342  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_2]                    []                               [MASVS_6_1]            [M4_2024]          []       [164_312_c_1]              [gdpr_25]          2025-11-17 08:46:28.599243 +0000 UTC  128
6343  Unknown  Waiting               -1         3             []     [ASVS_1_4_4 ASVS_1_8_2]             [CWE_284 CWE_541 CWE_532]  [MSTG_8_2]                    []                               [MASVS_7_1]            [M6_2024]          []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-17 08:46:28.771372 +0000 UTC  131
6344  Unknown  Waiting               -1         3             []     [ASVS_1_4_4 ASVS_1_8_2]             [CWE_284 CWE_541 CWE_532]  [MSTG_8_2]                    []                               [MASVS_7_1]            [M6_2024]          []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-17 08:46:28.901011 +0000 UTC  132
6345  Unknown  Waiting               -1         3             []     [ASVS_1_8_1 ASVS_1_8_2]             [CWE_693]                  []                            []                               [MASVS_7_2]            [M6_2024]          []       [164_308_a_4 164_312_c_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:29.111952 +0000 UTC  133
6346  Unknown  Waiting               -1         3             []     [ASVS_5_1_3]                        [CWE_345]                  []                            [API2_2023]                      []                     []                 []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-17 08:46:29.298281 +0000 UTC  134
6347  Unknown  Waiting               -1         3             []     []                                  [CWE_863 CWE_285]          []                            [API8_2023]                      []                     []                 []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-17 08:46:29.41536 +0000 UTC   135
6348  Unknown  Waiting               -1         3             []     [ASVS_14_5_3]                       [CWE_942]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:29.472146 +0000 UTC  136
6349  Unknown  Waiting               -1         3             []     [ASVS_14_5_3]                       [CWE_942]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:29.53194 +0000 UTC   137
6350  Unknown  Waiting               -1         3             []     [ASVS_14_5_3]                       [CWE_942]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:29.586591 +0000 UTC  138
6351  Unknown  Waiting               -1         3             []     []                                  [CWE_693]                  [MSTG_8_1]                    []                               [MASVS_7_1]            [M7_2024]          []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-17 08:46:29.660489 +0000 UTC  141
6352  Unknown  Waiting               -1         3             []     [ASVS_14_5_3]                       [CWE_552]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:29.816398 +0000 UTC  142
6353  Unknown  Waiting               -1         3             []     [ASVS_14_5_3]                       [CWE_552]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:30.031753 +0000 UTC  143
6354  Unknown  Waiting               -1         3             []     [ASVS_14_5_3]                       [CWE_552]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:30.147701 +0000 UTC  144
6355  Unknown  Waiting               -1         3             []     [ASVS_14_5_3]                       [CWE_552]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-17 08:46:30.290329 +0000 UTC  145
6356  Unknown  Waiting               -1         3             []     [ASVS_14_5_3]                       [CWE_693 CWE_1021 CWE_16]  []                            [API8_2023]                      []                     []                 []       [164_306_a_1 164_306_a_2]  [gdpr_25 gdpr_32]  2025-11-17 08:46:30.479284 +0000 UTC  147
