ID    RISK     STATUS     CVSS-VECTOR                                   CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------     -----------                                   ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
5675  Unknown  Waiting                                                  -1         3             []     [ASVS_5_3_5]                        [CWE_89]                   []                            []                               []                     []                 []       [164_312_a_1 164_312_d]    [gdpr_25 gdpr_32]  2025-11-14 12:37:21.362397 +0000 UTC  72
5676  Unknown  Waiting                                                  -1         3             []     [ASVS_5_1_3 ASVS_5_1_4]             [CWE_20]                   []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.390932 +0000 UTC  73
5677  Unknown  Waiting                                                  -1         3             []     [ASVS_5_5_2]                        [CWE_611]                  []                            []                               []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.412185 +0000 UTC  74
5674  Unknown  Waiting                                                  -1         3             []     [ASVS_5_3_6]                        [CWE_79]                   []                            []                               []                     []                 []       [164_312_a_1 164_312_d]    [gdpr_25 gdpr_32]  2025-11-14 12:37:21.33526 +0000 UTC   75
5678  Unknown  Waiting                                                  -1         3             []     [ASVS_14_5_3]                       [CWE_942]                  []                            [API8_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.435134 +0000 UTC  76
5679  Unknown  Waiting                                                  -1         3             []     [ASVS_14_5_1 ASVS_5_3_6]            [CWE_79]                   []                            [API1_2023]                      []                     []                 []       [164_312_c_1 164_312_a_1]  [gdpr_25 gdpr_32]  2025-11-14 12:37:21.457004 +0000 UTC  77
5680  Unknown  Waiting                                                  -1         3             []     [ASVS_1_9_1]                        [CWE_319]                  []                            [API6_2023]                      []                     []                 []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:21.478539 +0000 UTC  78
5681  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_319]                  [MSTG_5_1]                    []                               [MASVS_5_1]            [M5_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.505857 +0000 UTC  82
5682  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_295]                  [MSTG_5_3]                    []                               [MASVS_5_2]            [M5_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.530138 +0000 UTC  83
5683  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_200]                  [MSTG_2_4]                    []                               [MASVS_1_2]            [M6_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.556923 +0000 UTC  84
